smid,addr_mb,cycles,group
12,32,280.59,near
13,32,280.59,near
14,32,299.92,far
15,32,299.91,far
16,32,270.38,near
17,32,270.40,near
18,32,269.25,near
19,32,269.20,near
20,32,265.18,near
21,32,265.16,near
22,32,266.33,near
23,32,266.33,near
24,32,289.87,far
25,32,289.86,far
26,32,306.29,far
27,32,306.30,far
28,32,289.28,far
29,32,289.28,far
30,32,306.02,far
31,32,306.00,far
32,32,279.55,near
33,32,279.57,near
34,32,274.24,near
35,32,274.32,near
36,32,270.87,near
37,32,270.87,near
38,32,270.85,near
39,32,270.88,near
40,32,297.88,far
41,32,297.83,far
42,32,312.55,far
43,32,312.54,far
44,32,301.93,far
45,32,301.95,far
46,32,317.25,far
47,32,317.26,far
48,32,269.46,near
49,32,269.42,near
50,32,267.49,near
51,32,267.41,near
52,32,252.92,near
53,32,252.92,near
54,32,252.92,near
55,32,252.93,near
56,32,277.34,near
57,32,277.34,near
58,32,292.86,far
59,32,292.88,far
60,32,275.58,near
61,32,275.60,near
62,32,294.93,far
63,32,294.91,far
64,32,264.30,near
65,32,264.27,near
66,32,260.19,near
67,32,260.17,near
68,32,261.34,near
69,32,261.34,near
70,32,284.86,far
71,32,284.89,far
72,32,301.29,far
73,32,301.35,far
74,32,284.32,far
75,32,284.29,far
76,32,301.06,far
77,32,301.00,far
78,32,268.28,near
79,32,268.28,near
80,32,264.87,near
81,32,264.87,near
82,32,264.87,near
83,32,264.89,near
84,32,291.86,far
85,32,291.82,far
86,32,306.58,far
87,32,306.57,far
88,32,296.95,far
89,32,296.98,far
90,32,312.23,far
91,32,312.26,far
92,32,262.46,near
93,32,262.49,near
94,32,247.91,near
95,32,247.90,near
96,32,247.92,near
97,32,247.87,near
98,32,272.34,near
99,32,272.35,near
100,32,287.88,far
101,32,287.88,far
102,32,270.58,near
103,32,270.58,near
104,32,289.92,far
105,32,289.92,far
106,32,259.26,near
107,32,259.26,near
108,32,255.18,near
109,32,255.16,near
110,32,256.31,near
111,32,256.31,near
112,32,279.87,near
113,32,279.89,near
114,32,296.28,far
115,32,296.29,far
116,32,279.29,near
117,32,279.27,near
118,32,296.02,far
119,32,295.97,far
120,32,290.90,far
121,32,290.92,far
122,32,306.24,far
123,32,306.22,far
124,32,260.40,near
125,32,260.39,near
126,32,274.56,near
127,32,274.55,near
128,32,264.44,near
129,32,264.42,near
130,32,269.55,near
131,32,269.56,near
0,40,288.27,far
1,40,288.24,far
2,40,283.25,far
3,40,283.23,far
4,40,296.69,far
5,40,296.66,far
6,40,298.72,far
7,40,298.74,far
8,40,271.25,near
9,40,271.22,near
10,40,260.81,near
11,40,260.81,near
12,40,271.54,near
13,40,271.56,near
14,40,260.85,near
15,40,260.87,near
16,40,292.75,far
17,40,292.80,far
18,40,291.93,far
19,40,291.97,far
20,40,305.15,far
21,40,305.12,far
22,40,304.79,far
23,40,304.79,far
24,40,269.21,near
25,40,269.21,near
26,40,268.08,near
27,40,268.04,near
28,40,268.32,near
29,40,268.32,near
30,40,269.22,near
31,40,269.25,near
32,40,305.68,far
33,40,305.65,far
34,40,299.50,far
35,40,299.49,far
36,40,311.27,far
37,40,311.24,far
38,40,311.02,far
39,40,310.99,far
40,40,273.32,near
41,40,273.33,near
42,40,273.76,near
43,40,273.75,near
44,40,278.34,near
45,40,278.33,near
46,40,278.73,near
47,40,278.76,near
48,40,282.23,far
49,40,282.25,far
50,40,278.19,near
51,40,278.20,near
52,40,291.70,far
53,40,291.67,far
54,40,293.73,far
55,40,293.68,far
56,40,266.22,near
57,40,266.22,near
58,40,255.80,near
59,40,255.80,near
60,40,266.49,near
61,40,266.54,near
62,40,255.79,near
63,40,255.85,near
64,40,286.91,far
65,40,286.92,far
66,40,300.10,far
67,40,300.10,far
68,40,299.83,far
69,40,299.85,far
70,40,264.21,near
71,40,264.23,near
72,40,263.11,near
73,40,263.08,near
74,40,263.35,near
75,40,263.34,near
76,40,264.22,near
77,40,264.26,near
78,40,293.48,far
79,40,293.44,far
80,40,305.31,far
81,40,305.30,far
82,40,305.05,far
83,40,305.01,far
84,40,267.33,near
85,40,267.33,near
86,40,267.76,near
87,40,267.77,near
88,40,273.28,near
89,40,273.29,near
90,40,273.79,near
91,40,273.76,near
92,40,273.26,near
93,40,273.24,near
94,40,286.71,far
95,40,286.71,far
96,40,288.75,far
97,40,288.75,far
98,40,261.23,near
99,40,261.22,near
100,40,250.82,near
101,40,250.81,near
102,40,261.53,near
103,40,261.56,near
104,40,250.82,near
105,40,250.83,near
106,40,281.98,far
107,40,281.98,far
108,40,295.09,far
109,40,295.11,far
110,40,294.83,far
111,40,294.82,far
112,40,259.23,near
113,40,259.21,near
114,40,258.11,near
115,40,258.11,near
116,40,258.34,near
117,40,258.32,near
118,40,259.25,near
119,40,259.25,near
120,40,267.33,near
121,40,267.35,near
122,40,267.77,near
123,40,267.73,near
124,40,282.79,far
125,40,282.77,far
126,40,300.71,far
127,40,300.70,far
128,40,277.26,near
129,40,277.26,near
130,40,295.70,far
131,40,295.71,far
0,48,301.13,far
1,48,301.15,far
2,48,295.83,far
3,48,295.82,far
4,48,293.95,far
5,48,293.93,far
6,48,295.68,far
7,48,295.68,far
8,48,271.26,near
9,48,271.26,near
10,48,270.95,near
11,48,270.97,near
12,48,271.25,near
13,48,271.27,near
14,48,270.67,near
15,48,270.67,near
16,48,304.22,far
17,48,304.28,far
18,48,304.22,far
19,48,304.16,far
20,48,302.64,far
21,48,302.67,far
22,48,303.20,far
23,48,303.22,far
24,48,279.69,near
25,48,279.67,near
26,48,267.79,near
27,48,267.77,near
28,48,278.52,near
29,48,278.52,near
30,48,268.63,near
31,48,268.65,near
32,48,315.44,far
33,48,315.46,far
34,48,310.40,far
35,48,310.38,far
36,48,310.28,far
37,48,310.28,far
38,48,311.11,far
39,48,311.13,far
40,48,284.20,near
41,48,284.19,near
42,48,272.74,near
43,48,272.76,near
44,48,289.17,far
45,48,289.21,far
46,48,277.76,near
47,48,277.75,near
48,48,295.18,far
49,48,295.15,far
50,48,290.90,far
51,48,290.86,far
52,48,288.90,far
53,48,288.90,far
54,48,290.67,far
55,48,290.70,far
56,48,266.28,near
57,48,266.26,near
58,48,265.97,near
59,48,265.97,near
60,48,266.30,near
61,48,266.28,near
62,48,265.68,near
63,48,265.65,near
64,48,299.21,far
65,48,299.27,far
66,48,297.62,far
67,48,297.66,far
68,48,298.25,far
69,48,298.23,far
70,48,274.71,near
71,48,274.71,near
72,48,262.77,near
73,48,262.76,near
74,48,273.55,near
75,48,273.55,near
76,48,263.67,near
77,48,263.67,near
78,48,304.43,far
79,48,304.42,far
80,48,304.28,far
81,48,304.27,far
82,48,305.13,far
83,48,305.17,far
84,48,278.20,near
85,48,278.20,near
86,48,266.76,near
87,48,266.75,near
88,48,284.27,near
89,48,284.20,near
90,48,272.73,near
91,48,272.74,near
92,48,285.82,far
93,48,285.79,far
94,48,283.94,near
95,48,283.93,near
96,48,285.69,far
97,48,285.68,far
98,48,261.28,near
99,48,261.27,near
100,48,260.96,near
101,48,260.97,near
102,48,261.28,near
103,48,261.28,near
104,48,260.68,near
105,48,260.68,near
106,48,294.21,far
107,48,294.27,far
108,48,292.65,far
109,48,292.65,far
110,48,293.25,far
111,48,293.22,far
112,48,269.64,near
113,48,269.65,near
114,48,257.75,near
115,48,257.76,near
116,48,268.50,near
117,48,268.51,near
118,48,258.63,near
119,48,258.64,near
120,48,278.18,near
121,48,278.19,near
122,48,266.73,near
123,48,266.74,near
124,48,294.27,far
125,48,294.26,far
126,48,310.38,far
127,48,310.43,far
128,48,290.14,far
129,48,290.12,far
130,48,305.41,far
131,48,305.40,far
0,56,277.91,near
1,56,277.96,near
2,56,274.10,near
3,56,274.09,near
4,56,278.99,near
5,56,278.97,near
6,56,279.55,near
7,56,279.57,near
8,56,301.60,far
9,56,301.61,far
10,56,296.94,far
11,56,296.96,far
12,56,301.57,far
13,56,301.55,far
14,56,296.96,far
15,56,296.98,far
16,56,264.76,near
17,56,264.78,near
18,56,263.94,near
19,56,263.93,near
20,56,268.83,near
21,56,268.86,near
22,56,269.44,near
23,56,269.42,near
24,56,309.10,far
25,56,309.14,far
26,56,303.36,far
27,56,303.34,far
28,56,307.98,far
29,56,307.97,far
30,56,304.49,far
31,56,304.55,far
32,56,263.92,near
33,56,263.91,near
34,56,258.06,near
35,56,258.15,near
