tag,bin_lo_cycles,pct
HBM_2GB,1270,0.01221
HBM_2GB,1286,0.00610
HBM_2GB,1294,0.00610
HBM_2GB,1306,0.00610
HBM_2GB,1310,0.01221
HBM_2GB,1318,0.00610
HBM_2GB,1358,0.00610
HBM_2GB,1406,0.00610
HBM_2GB,1470,0.00610
HBM_2GB,1486,0.00610
